scenario_id,intervention,gender,location,region,lnpv,lnpv_lakhs,max_cost_bcr_1,max_cost_bcr_2,max_cost_bcr_3,max_cost_bcr_1_lakhs,max_cost_bcr_2_lakhs,max_cost_bcr_3_lakhs,p_formal_treatment,rank_bcr3
rte_male_urban_north,rte,male,urban,north,1598806.3055190602,15.988063055190603,1598806.3055190602,799403.1527595301,532935.4351730201,15.988063055190603,7.994031527595301,5.329354351730201,0.25,7.0
rte_male_urban_south,rte,male,urban,south,3019215.2321530646,30.192152321530646,3019215.2321530646,1509607.6160765323,1006405.0773843549,30.192152321530646,15.096076160765323,10.06405077384355,0.41666666666666663,1.0
rte_male_urban_west,rte,male,urban,west,2353167.3890194627,23.53167389019463,2353167.3890194627,1176583.6945097314,784389.1296731542,23.53167389019463,11.765836945097314,7.843891296731542,0.3333333333333333,2.0
rte_male_urban_east,rte,male,urban,east,1174760.910745081,11.74760910745081,1174760.910745081,587380.4553725405,391586.97024836036,11.74760910745081,5.873804553725405,3.9158697024836036,0.19999999999999998,10.0
rte_male_rural_north,rte,male,rural,north,1118229.9854533465,11.182299854533465,1118229.9854533465,559114.9927266733,372743.32848444884,11.182299854533465,5.591149927266732,3.7274332848444884,0.25,11.0
rte_male_rural_south,rte,male,rural,south,2059670.584700628,20.59670584700628,2059670.584700628,1029835.292350314,686556.861566876,20.59670584700628,10.29835292350314,6.865568615668759,0.41666666666666663,4.0
rte_male_rural_west,rte,male,rural,west,1619451.2956550855,16.194512956550856,1619451.2956550855,809725.6478275427,539817.0985516951,16.194512956550856,8.097256478275428,5.398170985516951,0.3333333333333333,6.0
rte_male_rural_east,rte,male,rural,east,833560.7942958067,8.335607942958067,833560.7942958067,416780.39714790334,277853.5980986022,8.335607942958067,4.167803971479033,2.778535980986022,0.19999999999999998,14.0
rte_female_urban_north,rte,female,urban,north,1212363.05809203,12.1236305809203,1212363.05809203,606181.529046015,404121.01936401,12.1236305809203,6.06181529046015,4.0412101936401,0.25,9.0
rte_female_urban_south,rte,female,urban,south,2321975.6421103063,23.219756421103064,2321975.6421103063,1160987.8210551532,773991.8807034354,23.219756421103064,11.609878210551532,7.739918807034354,0.41666666666666663,3.0
rte_female_urban_west,rte,female,urban,west,1800952.4742228244,18.009524742228244,1800952.4742228244,900476.2371114122,600317.4914076081,18.009524742228244,9.004762371114122,6.003174914076081,0.3333333333333333,5.0
rte_female_urban_east,rte,female,urban,east,883381.0585755066,8.833810585755066,883381.0585755066,441690.5292877533,294460.3528585022,8.833810585755066,4.416905292877533,2.944603528585022,0.19999999999999998,13.0
rte_female_rural_north,rte,female,rural,north,759714.7402869762,7.597147402869762,759714.7402869762,379857.3701434881,253238.2467623254,7.597147402869762,3.798573701434881,2.532382467623254,0.25,15.0
rte_female_rural_south,rte,female,rural,south,1401672.1534525754,14.016721534525754,1401672.1534525754,700836.0767262877,467224.05115085846,14.016721534525754,7.008360767262877,4.672240511508584,0.41666666666666663,8.0
rte_female_rural_west,rte,female,rural,west,1101468.9722584311,11.014689722584311,1101468.9722584311,550734.4861292156,367156.3240861437,11.014689722584311,5.507344861292156,3.671563240861437,0.3333333333333333,12.0
rte_female_rural_east,rte,female,rural,east,565786.0645758966,5.657860645758966,565786.0645758966,282893.0322879483,188595.3548586322,5.657860645758966,2.828930322879483,1.885953548586322,0.19999999999999998,16.0
apprenticeship_male_urban_north,apprenticeship,male,urban,north,4822061.536107601,48.22061536107601,4822061.536107601,2411030.7680538003,1607353.8453692002,48.22061536107601,24.110307680538003,16.073538453692002,0.72,3.0
apprenticeship_male_urban_south,apprenticeship,male,urban,south,5545158.542857629,55.451585428576294,5545158.542857629,2772579.2714288146,1848386.1809525432,55.451585428576294,27.725792714288147,18.483861809525433,0.72,1.0
apprenticeship_male_urban_west,apprenticeship,male,urban,west,5335831.0611852715,53.358310611852716,5335831.0611852715,2667915.5305926357,1778610.3537284238,53.358310611852716,26.679155305926358,17.786103537284237,0.72,2.0
apprenticeship_male_urban_east,apprenticeship,male,urban,east,4324666.482947711,43.24666482947711,4324666.482947711,2162333.2414738555,1441555.4943159036,43.24666482947711,21.623332414738556,14.415554943159036,0.72,5.0
apprenticeship_male_rural_north,apprenticeship,male,rural,north,3189417.565050899,31.89417565050899,3189417.565050899,1594708.7825254495,1063139.1883502996,31.89417565050899,15.947087825254496,10.631391883502996,0.72,11.0
apprenticeship_male_rural_south,apprenticeship,male,rural,south,3682992.12117959,36.8299212117959,3682992.12117959,1841496.060589795,1227664.0403931967,36.8299212117959,18.41496060589795,12.276640403931967,0.72,8.0
apprenticeship_male_rural_west,apprenticeship,male,rural,west,3536171.9098960804,35.361719098960805,3536171.9098960804,1768085.9549480402,1178723.9699653601,35.361719098960805,17.680859549480402,11.7872396996536,0.72,9.0
apprenticeship_male_rural_east,apprenticeship,male,rural,east,2857045.502575612,28.57045502575612,2857045.502575612,1428522.751287806,952348.5008585374,28.57045502575612,14.28522751287806,9.523485008585373,0.72,12.0
apprenticeship_female_urban_north,apprenticeship,female,urban,north,3803009.2141608023,38.03009214160802,3803009.2141608023,1901504.6070804012,1267669.7380536008,38.03009214160802,19.01504607080401,12.676697380536007,0.72,7.0
apprenticeship_female_urban_south,apprenticeship,female,urban,south,4358931.199499137,43.58931199499137,4358931.199499137,2179465.5997495684,1452977.0664997122,43.58931199499137,21.794655997495685,14.529770664997121,0.72,4.0
