halflife_years,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
15,APPRENTICESHIP,east,female,rural,2071494.4986100835,20.714944986100836,0.72,2071494.4986100835,1035747.2493050417,690498.1662033611
20,APPRENTICESHIP,north,male,urban,5212377.025264034,52.12377025264034,0.72,5212377.025264034,2606188.512632017,1737459.0084213447
20,APPRENTICESHIP,south,male,urban,5997102.793459814,59.97102793459814,0.72,5997102.793459814,2998551.396729907,1999034.2644866046
20,APPRENTICESHIP,west,male,urban,5767232.391305541,57.67232391305541,0.72,5767232.391305541,2883616.1956527703,1922410.797101847
20,APPRENTICESHIP,east,male,urban,4673896.13114031,46.7389613114031,0.72,4673896.13114031,2336948.065570155,1557965.3770467702
20,APPRENTICESHIP,north,male,rural,3461686.4184624613,34.61686418462461,0.72,3461686.4184624613,1730843.2092312307,1153895.4728208205
20,APPRENTICESHIP,south,male,rural,3998250.79355087,39.9825079355087,0.72,3998250.79355087,1999125.396775435,1332750.2645169566
20,APPRENTICESHIP,west,male,rural,3837100.6426141215,38.371006426141214,0.72,3837100.6426141215,1918550.3213070608,1279033.5475380404
20,APPRENTICESHIP,east,male,rural,3100654.4766806937,31.006544766806936,0.72,3100654.4766806937,1550327.2383403468,1033551.4922268979
20,APPRENTICESHIP,north,female,urban,4099648.985919691,40.99648985919691,0.72,4099648.985919691,2049824.4929598456,1366549.6619732303
20,APPRENTICESHIP,south,female,urban,4702408.829956797,47.02408829956797,0.72,4702408.829956797,2351204.4149783985,1567469.609985599
20,APPRENTICESHIP,west,female,urban,4528398.224064147,45.28398224064147,0.72,4528398.224064147,2264199.1120320735,1509466.074688049
20,APPRENTICESHIP,east,female,urban,3681503.9930380913,36.81503993038091,0.72,3681503.9930380913,1840751.9965190457,1227167.9976793637
20,APPRENTICESHIP,north,female,rural,2384978.5735414075,23.849785735414073,0.72,2384978.5735414075,1192489.2867707037,794992.8578471359
20,APPRENTICESHIP,south,female,rural,2750086.229070554,27.50086229070554,0.72,2750086.229070554,1375043.114535277,916695.4096901846
20,APPRENTICESHIP,west,female,rural,2640657.669368709,26.40657669368709,0.72,2640657.669368709,1320328.8346843545,880219.223122903
20,APPRENTICESHIP,east,female,rural,2138950.0188938593,21.389500188938595,0.72,2138950.0188938593,1069475.0094469297,712983.3396312864
30,APPRENTICESHIP,north,male,urban,5412909.811781495,54.12909811781495,0.72,5412909.811781495,2706454.9058907474,1804303.2705938315
30,APPRENTICESHIP,south,male,urban,6229298.651532667,62.29298651532667,0.72,6229298.651532667,3114649.3257663334,2076432.8838442222
30,APPRENTICESHIP,west,male,urban,5988873.892193265,59.88873892193265,0.72,5988873.892193265,2994436.9460966326,1996291.297397755
30,APPRENTICESHIP,east,male,urban,4853320.203287515,48.533202032875145,0.72,4853320.203287515,2426660.1016437574,1617773.4010958383
30,APPRENTICESHIP,north,male,rural,3601570.2646673247,36.01570264667325,0.72,3601570.2646673247,1800785.1323336624,1200523.421555775
30,APPRENTICESHIP,south,male,rural,4160221.5628407123,41.60221562840712,0.72,4160221.5628407123,2080110.7814203561,1386740.520946904
30,APPRENTICESHIP,west,male,rural,3991709.104208972,39.917091042089716,0.72,3991709.104208972,1995854.552104486,1330569.7014029906
30,APPRENTICESHIP,east,male,rural,3225813.7074955725,32.25813707495573,0.72,3225813.7074955725,1612906.8537477863,1075271.2358318574
30,APPRENTICESHIP,north,female,urban,4252053.903672964,42.520539036729645,0.72,4252053.903672964,2126026.951836482,1417351.3012243214
30,APPRENTICESHIP,south,female,urban,4878877.682092166,48.788776820921655,0.72,4878877.682092166,2439438.841046083,1626292.5606973886
