p_formal_apprentice,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
0.72,APPRENTICESHIP,south,female,rural,2535715.8433733336,25.357158433733336,0.72,2535715.8433733336,1267857.9216866668,845238.6144577778
0.72,APPRENTICESHIP,west,female,rural,2436031.3921122705,24.360313921122703,0.72,2436031.3921122705,1218015.6960561352,812010.4640374235
0.72,APPRENTICESHIP,east,female,rural,1973300.1754005535,19.733001754005535,0.72,1973300.1754005535,986650.0877002768,657766.7251335179
0.8,APPRENTICESHIP,north,male,urban,5367274.259525715,53.672742595257155,0.8,5367274.259525715,2683637.1297628577,1789091.4198419051
0.8,APPRENTICESHIP,south,male,urban,6176457.485762813,61.76457485762813,0.8,6176457.485762813,3088228.7428814066,2058819.1619209377
0.8,APPRENTICESHIP,west,male,urban,5938434.597594767,59.38434597594767,0.8,5938434.597594767,2969217.2987973834,1979478.1991982555
0.8,APPRENTICESHIP,east,male,urban,4812488.393374446,48.12488393374446,0.8,4812488.393374446,2406244.196687223,1604162.797791482
0.8,APPRENTICESHIP,north,male,rural,3542755.834759423,35.42755834759423,0.8,3542755.834759423,1771377.9173797115,1180918.6115864743
0.8,APPRENTICESHIP,south,male,rural,4092120.643999985,40.92120643999985,0.8,4092120.643999985,2046060.3219999925,1364040.2146666616
0.8,APPRENTICESHIP,west,male,rural,3926703.6816791864,39.267036816791865,0.8,3926703.6816791864,1963351.8408395932,1308901.2272263954
0.8,APPRENTICESHIP,east,male,rural,3173190.270209555,31.73190270209555,0.8,3173190.270209555,1586595.1351047775,1057730.0900698516
0.8,APPRENTICESHIP,north,female,urban,4234070.226558262,42.340702265582614,0.8,4234070.226558262,2117035.113279131,1411356.7421860872
0.8,APPRENTICESHIP,south,female,urban,4858054.477011981,48.580544770119815,0.8,4858054.477011981,2429027.2385059907,1619351.4923373272
0.8,APPRENTICESHIP,west,female,urban,4676969.068980458,46.769690689804584,0.8,4676969.068980458,2338484.534490229,1558989.6896601527
0.8,APPRENTICESHIP,east,female,urban,3801775.6293989164,38.017756293989166,0.8,3801775.6293989164,1900887.8146994582,1267258.5431329722
0.8,APPRENTICESHIP,north,female,rural,2441236.39973841,24.4123639973841,0.8,2441236.39973841,1220618.199869205,813745.46657947
0.8,APPRENTICESHIP,south,female,rural,2815226.86993024,28.1522686993024,0.8,2815226.86993024,1407613.43496512,938408.9566434133
0.8,APPRENTICESHIP,west,female,rural,2702837.372007502,27.028373720075017,0.8,2702837.372007502,1351418.686003751,900945.7906691673
0.8,APPRENTICESHIP,east,female,rural,2189285.9686490726,21.892859686490727,0.8,2189285.9686490726,1094642.9843245363,729761.9895496909
0.9,APPRENTICESHIP,north,male,urban,6048790.163798355,60.48790163798355,0.9,6048790.163798355,3024395.0818991773,2016263.3879327849
0.9,APPRENTICESHIP,south,male,urban,6965581.164394295,69.65581164394295,0.9,6965581.164394295,3482790.5821971474,2321860.388131432
0.9,APPRENTICESHIP,west,male,urban,6691689.018106637,66.91689018106636,0.9,6691689.018106637,3345844.5090533183,2230563.0060355454
0.9,APPRENTICESHIP,east,male,urban,5422265.781407864,54.22265781407864,0.9,5422265.781407864,2711132.890703932,1807421.9271359546
0.9,APPRENTICESHIP,north,male,rural,3984428.6718950793,39.84428671895079,0.9,3984428.6718950793,1992214.3359475397,1328142.8906316932
0.9,APPRENTICESHIP,south,male,rural,4603531.297525478,46.035312975254776,0.9,4603531.297525478,2301765.648762739,1534510.4325084926
0.9,APPRENTICESHIP,west,male,rural,4414868.396408069,44.14868396408069,0.9,4414868.396408069,2207434.1982040345,1471622.7988026896
0.9,APPRENTICESHIP,east,male,rural,3568371.2297519813,35.68371229751981,0.9,3568371.2297519813,1784185.6148759907,1189457.0765839939
0.9,APPRENTICESHIP,north,female,urban,4772896.492055086,47.728964920550865,0.9,4772896.492055086,2386448.246027543,1590965.4973516956
0.9,APPRENTICESHIP,south,female,urban,5481958.57390304,54.8195857390304,0.9,5481958.57390304,2740979.28695152,1827319.5246343466
0.9,APPRENTICESHIP,west,female,urban,5272513.888740106,52.72513888740106,0.9,5272513.888740106,2636256.944370053,1757504.629580035
0.9,APPRENTICESHIP,east,female,urban,4283883.340632915,42.838833406329144,0.9,4283883.340632915,2141941.6703164573,1427961.1135443049
0.9,APPRENTICESHIP,north,female,rural,2742981.2579532526,27.429812579532527,0.9,2742981.2579532526,1371490.6289766263,914327.0859844176
0.9,APPRENTICESHIP,south,female,rural,3164615.653126373,31.64615653126373,0.9,3164615.653126373,1582307.8265631865,1054871.8843754577
0.9,APPRENTICESHIP,west,female,rural,3036344.8468765365,30.363448468765366,0.9,3036344.8468765365,1518172.4234382682,1012114.9489588455
0.9,APPRENTICESHIP,east,female,rural,2459268.21020972,24.5926821020972,0.9,2459268.21020972,1229634.10510486,819756.0700699067
