p_formal_rte,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
0.35,RTE,north,male,urban,1858150.7738027752,18.581507738027753,0.2916666666666667,1858150.7738027752,929075.3869013876,619383.5912675917
0.35,RTE,south,male,urban,3524789.086503941,35.24789086503941,0.48611111111111105,3524789.086503941,1762394.5432519706,1174929.6955013138
0.35,RTE,west,male,urban,2737508.6792201335,27.375086792201333,0.3888888888888889,2737508.6792201335,1368754.3396100667,912502.8930733778
0.35,RTE,east,male,urban,1359973.7349516782,13.599737349516783,0.2333333333333333,1359973.7349516782,679986.8674758391,453324.5783172261
0.35,RTE,north,male,rural,1283477.2127777499,12.834772127777498,0.2916666666666667,1283477.2127777499,641738.6063888749,427825.7375925833
0.35,RTE,south,male,rural,2381808.4663839135,23.818084663839134,0.48611111111111105,2381808.4663839135,1190904.2331919568,793936.1554613045
0.35,RTE,west,male,rural,1864343.091390114,18.643430913901142,0.3888888888888889,1864343.091390114,932171.545695057,621447.697130038
0.35,RTE,east,male,rural,951573.3583100138,9.515733583100138,0.2333333333333333,951573.3583100138,475786.6791550069,317191.11943667126
0.35,RTE,north,female,urban,1419158.184757027,14.191581847570271,0.2916666666666667,1419158.184757027,709579.0923785135,473052.7282523424
0.35,RTE,south,female,urban,2725108.240005649,27.251082400056493,0.48611111111111105,2725108.240005649,1362554.1200028246,908369.4133352163
0.35,RTE,west,female,urban,2107417.1014254675,21.074171014254674,0.3888888888888889,2107417.1014254675,1053708.5507127338,702472.3671418225
0.35,RTE,east,female,urban,1031065.370854282,10.310653708542821,0.2333333333333333,1031065.370854282,515532.685427141,343688.45695142733
0.35,RTE,north,female,rural,872737.07216626,8.7273707216626,0.2916666666666667,872737.07216626,436368.53608313,290912.3573887533
0.35,RTE,south,female,rural,1622001.263743922,16.220012637439222,0.48611111111111105,1622001.263743922,811000.631871961,540667.0879146407
0.35,RTE,west,female,rural,1268964.925202572,12.68964925202572,0.3888888888888889,1268964.925202572,634482.462601286,422988.3084008573
0.35,RTE,east,female,rural,646501.8223644036,6.465018223644036,0.2333333333333333,646501.8223644036,323250.9111822018,215500.6074548012
0.4,RTE,north,male,urban,2117495.2420864915,21.174952420864916,0.33333333333333337,2117495.2420864915,1058747.6210432458,705831.7473621638
0.4,RTE,south,male,urban,4030362.9408548176,40.303629408548176,0.5555555555555556,4030362.9408548176,2015181.4704274088,1343454.3136182725
0.4,RTE,west,male,urban,3121849.9694208065,31.218499694208067,0.4444444444444445,3121849.9694208065,1560924.9847104033,1040616.6564736022
0.4,RTE,east,male,urban,1545186.5591582756,15.451865591582756,0.26666666666666666,1545186.5591582756,772593.2795791378,515062.18638609187
0.4,RTE,north,male,rural,1448724.4401021537,14.487244401021536,0.33333333333333337,1448724.4401021537,724362.2200510768,482908.1467007179
0.4,RTE,south,male,rural,2703946.3480672003,27.039463480672,0.5555555555555556,2703946.3480672003,1351973.1740336001,901315.4493557335
0.4,RTE,west,male,rural,2109234.887125142,21.09234887125142,0.4444444444444445,2109234.887125142,1054617.443562571,703078.2957083806
0.4,RTE,east,male,rural,1069585.9223242206,10.695859223242206,0.26666666666666666,1069585.9223242206,534792.9611621103,356528.6407747402
0.4,RTE,north,female,urban,1625953.3114220253,16.259533114220254,0.33333333333333337,1625953.3114220253,812976.6557110127,541984.4371406751
0.4,RTE,south,female,urban,3128240.837900992,31.28240837900992,0.5555555555555556,3128240.837900992,1564120.418950496,1042746.9459669973
0.4,RTE,west,female,urban,2413881.72862811,24.1388172862811,0.4444444444444445,2413881.72862811,1206940.864314055,804627.2428760367
0.4,RTE,east,female,urban,1178749.6831330576,11.787496831330575,0.26666666666666666,1178749.6831330576,589374.8415665288,392916.56104435254
0.4,RTE,north,female,rural,985759.4040455442,9.857594040455442,0.33333333333333337,985759.4040455442,492879.7020227721,328586.4680151814
0.4,RTE,south,female,rural,1842330.3740352695,18.423303740352694,0.5555555555555556,1842330.3740352695,921165.1870176347,614110.1246784232
0.4,RTE,west,female,rural,1436460.878146713,14.36460878146713,0.4444444444444445,1436460.878146713,718230.4390733565,478820.29271557095
0.4,RTE,east,female,rural,727217.5801529107,7.272175801529107,0.26666666666666666,727217.5801529107,363608.79007645533,242405.86005097022
0.5,RTE,north,male,urban,2636184.178653921,26.36184178653921,0.4166666666666667,2636184.178653921,1318092.0893269605,878728.059551307
0.5,RTE,south,male,urban,5041510.649556568,50.41510649556568,0.6944444444444444,5041510.649556568,2520755.324778284,1680503.5498521894
0.5,RTE,west,male,urban,3890532.5498221475,38.90532549822147,0.5555555555555556,3890532.5498221475,1945266.2749110737,1296844.183274049
0.5,RTE,east,male,urban,1915612.2075714695,19.156122075714695,0.3333333333333333,1915612.2075714695,957806.1037857347,638537.4025238232
0.5,RTE,north,male,rural,1779218.8947509618,17.79218894750962,0.4166666666666667,1779218.8947509618,889609.4473754809,593072.9649169872
0.5,RTE,south,male,rural,3348222.1114337733,33.48222111433773,0.6944444444444444,3348222.1114337733,1674111.0557168867,1116074.037144591
0.5,RTE,west,male,rural,2599018.4785951986,25.990184785951985,0.5555555555555556,2599018.4785951986,1299509.2392975993,866339.4928650662
0.5,RTE,east,male,rural,1305611.0503526349,13.056110503526348,0.3333333333333333,1305611.0503526349,652805.5251763174,435203.6834508783
0.5,RTE,north,female,urban,2039543.5647520202,20.395435647520202,0.4166666666666667,2039543.5647520202,1019771.7823760101,679847.8549173401
0.5,RTE,south,female,urban,3934506.0336916763,39.34506033691677,0.6944444444444444,3934506.0336916763,1967253.0168458382,1311502.0112305589
0.5,RTE,west,female,urban,3026810.9830333963,30.268109830333962,0.5555555555555556,3026810.9830333963,1513405.4915166982,1008936.9943444654
0.5,RTE,east,female,urban,1474118.3076906085,14.741183076906086,0.3333333333333333,1474118.3076906085,737059.1538453043,491372.76923020283
0.5,RTE,north,female,rural,1211804.067804111,12.11804067804111,0.4166666666666667,1211804.067804111,605902.0339020555,403934.689268037
0.5,RTE,south,female,rural,2282988.5946179633,22.829885946179633,0.6944444444444444,2282988.5946179633,1141494.2973089817,760996.1982059878
0.5,RTE,west,female,rural,1771452.7840349954,17.714527840349955,0.5555555555555556,1771452.7840349954,885726.3920174977,590484.2613449985
0.5,RTE,east,female,rural,888649.0957299242,8.886490957299241,0.3333333333333333,888649.0957299242,444324.5478649621,296216.3652433081
