intervention,region,gender,location,lnpv,treatment_lifetime_earnings,control_lifetime_earnings,p_formal_treatment,annual_differential,discount_rate
apprenticeship,south,female,urban,4120143.0678075994,16060237.735233612,5420272.595485212,0.68,"[-36888.         186015.95647195 187682.80226582 189469.85989956
 191375.63891231 213520.97020191 215881.92437825 218368.5293689
 220978.81709583 223710.74027896 226562.17309841 229530.91190472
 232614.6759793  235811.1083469  239117.77664224 244817.81755749
 248370.53222093 252026.70882379 255783.59758151 259638.37786702
 263588.15945123 267629.98381025 271760.82550046 275977.59360283
 280277.13323764 284656.22715037 289111.59736995 293639.90693972
 298237.76172205 302901.71227666 307628.25581316 312413.83821784
 317254.85615455 322147.65923956 327088.55228982 319672.70146658
 324510.83515829 329384.35529195 334289.55520824 339222.69697809
 344180.01397333]",0.05
apprenticeship,south,female,rural,2390542.834150705,10356038.341233157,4155081.7443188503,0.68,"[-17040.         106610.25264865 107586.75724403 108640.22711269
 109769.77522971 122520.94372793 123932.85868548 125425.51786991
 126997.73507499 128648.27313839 130375.84430681 132179.11063288
 134056.68440502 136007.12861178 138028.95744172 141441.14543958
 143621.44913673 145869.02080416 148182.16939897 150559.15772484
 152998.20317792 155497.47853666 158055.11279639 160669.19204963
 163337.76041262 166058.82099903 168830.3369411  171650.23245894
 174516.39397818 177426.67129633 180378.87879806 183370.79671933
 186400.17246046 189464.72194792 192562.13104456 188382.12956778
 191420.34090914 194483.34220755 197568.80447571 200674.37725609
 203797.69024663]",0.05
apprenticeship,west,male,urban,5037528.877844037,20384412.6060945,7261113.291836238,0.68,"[-88440.         227548.88388641 229676.74584396 231959.10371064
 234394.11280089 261636.69424805 264655.59420382 267836.28845299
 271176.32245605 274673.13882446 278324.07809213 282126.37955102
 286077.18215369 290173.52548535 294412.35080809 301606.32890186
 306163.09681091 310853.84296922 315675.09489817 320623.2873179
 325694.76368857 330885.77784024 336192.4956931  341610.99706975
 347137.2776009  352767.25072588 358496.74978902 364321.53023279
 370237.27188849 376239.58136505 382323.99453616 388485.97912588
 394720.93739273 401024.20891172 407391.0734539  398363.01626277
 404600.70270994 410885.65915906 417213.14093821 423578.36103766
 429976.49342079]",0.05
apprenticeship,west,male,rural,3332576.185211541,14525806.927606061,5805654.582925007,0.68,"[-60540.         149464.4321641  150886.37720586 152417.98488418
 154058.01061104 172016.08171179 174061.72202556 176222.49134464
 178496.71861021 180882.65953234 183378.49708113 185982.34202427
 188692.233513   191506.13971838 194421.95851973 199298.18595834
 202440.58393115 205679.07119185 209011.25005865 212434.65622276
 215946.75979581 219544.96642136 223226.61845183 226988.99619195
 230829.31920982 234744.74771657 238732.3840153  242789.27402005
 246912.40884535 251098.72646665 255345.11345198 259648.40676478
 264005.39563793 268412.82351876 272867.39008455 267007.69614972
 271376.97658553 275781.8717131  280219.05665396 284685.17508887
 289176.84158823]",0.05
apprenticeship,west,female,urban,3971107.7508014576,15333529.656359356,5062010.422828414,0.68,"[-36888.         178642.51077204 180297.59650123 182068.91884279
 183955.04985566 205302.35580212 207633.19369919 210085.58241091
 212657.63122145 215347.37218164 218152.76072442 221071.67632796
 224101.92322868 227241.23118584 230487.25629989 236041.28684649
 239525.95760013 243110.81625013 246793.20880422 250570.41192362
 254439.63411148 258398.01696715 262442.63650775 266570.50455813
 270778.57021043 275063.72135403 279422.78627689 283852.53533894
 288349.68271788 292910.88822813 297532.75921276 302211.85250886
 306944.67648598 311727.69315757 316557.32036486 309426.32653772
 314154.82968963 318917.62450072 323711.11489104 328531.67379053
 333375.64564206]",0.05
apprenticeship,west,female,rural,2297438.8819193114,9888612.052995283,3917835.1291345414,0.68,"[-17040.         102004.5380897  102973.63716556 104017.2200753
 105134.4388313  117387.05372726 118780.09809706 120251.32741882
 121799.60379154 123423.73958744 125122.49778799 126894.59235132
 128738.6886125  130653.40371799 132637.30709539 135958.24063392
 138095.99885639 140298.98151727 142565.55738804 144894.05002109
 147282.73846303 149729.85801148 152233.60101629 154792.11772584
 157403.51717917 160065.86814476 162777.20010613 165535.50429515
 168338.73477304 171184.8095596  174071.61181064 176996.99104378
 179958.76441251 182954.71802838 185982.60833103 181980.57233742
 184950.28924412 187944.11334135 190959.78469232 193995.02206469
 197047.52451411]",0.05
apprenticeship,east,male,urban,4084704.018550449,16515507.347790783,5829747.927558338,0.68,"[-88440.         184407.1609709  186190.80224088 188101.27125626
 190137.07346742 212304.37790769 214823.44706885 217475.4191547
 220258.29858495 223170.00465192 226208.37212277 229371.15189569
 232656.01171259 236060.53693026 239582.23135225 245510.62981275
 249294.17594311 253187.9517579  257189.11794511 261294.75806066
 265501.87977779 269807.41621074 274208.22731448 278701.10136156
 283282.75649742 287949.84237521 292698.94187099 297526.57288018
 302429.19019567 307403.18746823 312444.89924931 317550.60311639
 322716.52188077 327938.82587751 333213.63533696 325894.56140354
 331062.0899346  336268.69309013 341510.46742918 346783.4738418
 352083.74028332]",0.05
apprenticeship,east,male,rural,2694301.295393085,11772826.560443003,4690120.201346866,0.68,"[-60540.         120709.63163716 121900.44756991 123181.35150022
 124551.33698264 139120.14012913 140825.78725551 142626.08115444
 144519.66497743 146505.12122279 148580.97211547 150745.68002607
 152997.64793066 155335.21991294 157756.6817104  161770.5674334
 164378.78628473 167066.14711603 169830.69037795 172670.40109888
 175583.20973278 178566.9930608  181619.57514793 184738.72835548
 187922.17441037 191167.58553194 194472.58561698 197834.75148349
 201251.61417364 204720.66031626 208239.33354892 211805.03599988
 215415.12982959 219066.93883176 222757.75009347 218026.87653792
 221646.98034393 225296.59990054 228972.9993642  232673.41637897
 236395.06400156]",0.05
apprenticeship,east,female,urban,3230885.8255267087,12426697.340862334,4045966.2284895303,0.68,"[-36888.         145035.86562092 146424.0192651  147907.55466666
 149485.31371634 166883.3011039  168829.17724842 170874.85344312
 173018.79139269 175259.38889945 177594.98034591 180023.83721751
 182544.16866734 185154.1221244  187851.78394694 192431.74202954
 195325.85868499 198302.35268299 201359.05332341 204493.73229446
 207704.10463677 210987.82976285 214342.51253295 217765.70438837
 221254.90454307 224807.5612344  228421.07303364 232092.79021692
 235820.01619688 239600.00901552 243429.98289836 247307.10986993
 251228.52143057 255191.31029431 259192.53218745 253399.07131992
 257316.22914452 261261.68631613 265232.48455014 269225.639467
 273238.14265901]",0.05
apprenticeship,east,female,rural,1862467.5349462861,8018906.900043801,3163803.521816116,0.68,"[-17040.          82401.55590333  83213.25681612  84086.14453286
  85019.53322689  94961.99721238  96123.65392945  97349.5837589
  98638.86266688  99990.52543419 101403.56591626 102876.93732972
 104409.55256664 106000.28453748 107647.96654393 110381.92936747
 112156.42180311 113984.6322398  115865.22745659 117796.83661861
 119778.05185457 121807.42887071 123883.48760207 126004.71290167
 128169.55526817 130376.4316126  132623.72606457 134909.79081831
 137232.94701886 139591.48568867 141983.66869462 144407.7297556
 146861.87549058 149344.286507   151853.11852927 148621.03247945
 151081.62597709 153562.19530992 156060.88088325 158575.80514521
 161105.07389488]",0.05
